Index Change,Ticker,Announced,Trade Date,Action,Last Px,Sector,Shs to Trade,$MM to Trade,ADV to Trade,Comments,Unnamed: 11
Russell 2000,ORA US,2022-11-17,2022-11-21,Upweight,90.01,Utilities,533488,48,0.96,Equity Offering,
Russell 2000,AERI US,2022-11-16,2022-11-18,Delete,15.25,Health Care,-6629703,-101.1,-10.89,Acq for $15.25/share in cash. Exp LDOT 11/18,
MSCI SC,NTRA US,2022-11-16,2022-11-18,Upweight,36.73,Health Care,100935,3.7,0.06,Secondary offering,
Nasdaq 100,OKTA,2022-11-11,2022-11-18,Delete,54.35,Information Technology,-2638239,-143.39,-0.71,Deletion due to violation of 10bp weight minimum at two consecutive month ends,
Nasdaq 100,ENPH,2022-11-11,2022-11-18,Add,292.01,Information Technology,2369771,692,0.57,Addition to replace OKTA,
MSCI SC,AERI,2022-11-15,2022-11-17,Delete,15.23,Health Care,-385094,-5.9,-0.63,Acq for $15.25/share in cash. Exp LDOT 11/18,
MSCI SC,ECVT,2022-11-15,2022-11-17,Upweight,8.67,Materials,150048,1.3,0.27,Secondary offering,
Russell 2000,TEN,2022-11-14,2022-11-16,Delete,19.99,Consumer Discretionary,-11435563,-228.6,-3.93,Acq by Apollo for $20/sh in cash. Exp LDOT 11/16,
MSCI SC,TEN,2022-11-14,2022-11-16,Delete,19.99,Consumer Discretionary,-733745,-14.7,-0.25,Acq by Apollo for $20/sh in cash. Exp LDOT 11/16,
Russell 1000,DV,2022-11-11,2022-11-15,Upweight,26.44,Information Technology,435860,11.5,0.27,Equity Offering,
Russell 2000,ECOM,2022-11-10,2022-11-14,Delete,23.08,Information Technology,-4089176,-94.4,-9.52,Acq by CHUBA for $23.10 per share in cash. Exp LDOT 11/14,
MSCI SC,ECOM,2022-11-10,2022-11-14,Delete,23.08,Information Technology,-241369,-5.6,-0.56,Acq by CHUBA for $23.10 per share in cash. Exp LDOT 11/14,
SP500,STZ,2022-11-08,2022-11-10,Upweight,243.38,Consumer Staples,226102,55,0.22,Constellation Brands announced plans to eliminate the company's Class B common stock. Class B shareholders will receive 1 Class A share plus $64.64 per share.,
Russell 1000,ABC,2022-11-08,2022-11-10,Upweight,159.66,Health Care,336908,53.8,0.24,Equity Offering,
MSCI SC,LXU,2022-11-08,2022-11-10,Upweight,13.84,Materials,116108,1.6,0.11,Secondary Offering,
MSCI SC,KRP,2022-11-04,2022-11-08,Upweight,18.27,Energy,44880,0.8,0.12,Public Offering,
MSCI Std,U,2022-11-02,2022-11-04,Upweight,26.59,Information Technology,1373848,36.5,0.18,U acq IS for 0.1089 U per share of IS held. IS LDOT 11/4.,
Russell 1000,U,2022-10-31,2022-11-04,Upweight,29.5,Information Technology,1672006,49.3,0.22,U acq IS for 0.1089 U per share of IS held,
Russell 2000,CYBE,2022-11-01,2022-11-03,Delete,53.96,Information Technology,-993127,-53.6,-8.31,Acq for $54 cash,
Russell 2000,STON,2022-11-01,2022-11-03,Delete,3.49,Consumer Discretionary,-3952603,-13.8,-12.31,Acq for $3.50 cash,
MSCI SC,OABI_z,2022-10-28,2022-11-02,Add,7,Health Care,-,-,-,LGND is to distribute OmniAb shareholders who will receive ~4.9 OABI per LGND held. Distribution expected to be completed Nov 2.,
SP600,OABI,2022-10-26,2022-11-02,Delete,6.13,Health Care,-10326774,-63.3,-96.75,AHPA acq OABI_z on a 1:1 basis immediately following distribution from LGND. Avista changed ticker to OABI.,
Russell 2000,OABI,2022-10-28,2022-11-01,Add,7,Health Care,-,-,-,LGND is to distribute OmniAb shareholders who will receive ~4.9 OABI per LGND held. Distribution expected to be completed Nov 2.,
SP400,BFH,2022-10-27,2022-11-01,SP400 to SP600,34.53,Financials,-5468106,-188.8,-6.64,Moved to S&P Small Cap 600,
SP600,BFH,2022-10-27,2022-11-01,SP400 to SP600,34.53,Financials,6948532,239.9,8.44,Moved from SP400,
SP600,UFI,2022-10-27,2022-11-01,Delete,9.32,Consumer Discretionary,-1803083,-16.8,-16.51,Discretionary Removal,
MSCI SC,RXO,2022-10-27,2022-11-01,Add,21,Industrials,-,-,-,XPO announced plans to spin off RXO. Shareholders will receive 1 RXO per XPO held.,
SP500,TWTR,2022-10-27,2022-10-31,Delete,53.7,Communication Services,-,-,-,Elon Musk acq TWTR for $54.20 per share. TWTR has been delisted.,
SP500,ACGL,2022-10-27,2022-10-31,Add,51.69,Financials,64232791,3320.2,31.59,Replaces TWTR in the SP500,
SP400,RXO,2022-10-27,2022-10-31,Add,21,Industrials,-,-,-,XPO announced plans to spin off RXO. Shareholders will receive 1 RXO per XPO held.,
Russell 1000,RXO,2022-10-27,2022-10-31,Add,21,Industrials,-,-,-,XPO announced plans to spin off RXO. Shareholders will receive 1 RXO per XPO held.,
MSCI Std,TWTR,2022-10-27,2022-10-31,Delete,53.7,Communication Services,-,-,-,Elon Musk acq TWTR for $54.20 per share. TWTR has been delisted.,
Russell 2000,PZN,2022-10-26,2022-10-28,Delete,9.57,Financials,-2287308,-21.9,-19.92,Acquired for $9.60 per share in cash. Exp LDOT 10/28,
Russell 2000,PCVX,2022-10-26,2022-10-28,Upweight,40.8,Health Care,1887068,77,1.24,Equity Offering,
MSCI SC,PCVX,2022-10-26,2022-10-28,Upweight,40.8,Health Care,149884,6.1,0.1,Equity Offering,
Russell 2000,SRG,2022-10-25,2022-10-27,Delete,11.14,Real Estate,-5769982,-64.3,-7.13,SRG has filed a liquidation plan.,
MSCI SC,INSM,2022-10-20,2022-10-24,Upweight,18.84,Health Care,121000,2.3,0.1,Public offering,
Russell 2000,MN,2022-10-18,2022-10-20,Delete,12.65,Financials,-2254945,-28.5,-7.99,MN acq for $12.85 in cash,
MSCI SC,DNA,2022-10-18,2022-10-20,Upweight,2.66,Materials,1927457,5.1,0.08,Acq ZY for .9179 stock,
SP400,AR,2022-10-17,2022-10-19,Add,33.93,Energy,30910807,1048.8,4.68,Replaces Y in the SP400,
SP400,Y,2022-10-17,2022-10-19,Delete,847.78,Financials,-1476014,-1251.3,-16.36,BRK.A / BRK.B acq Y for $848.02 cash,
MSCI Std,Y,2022-10-17,2022-10-19,Delete,847.78,Financials,-336367,-285.2,-3.73,BRK.A / BRK.B acq Y for $848.02 cash,
Russell 1000,Y,2022-10-14,2022-10-18,Delete,842.19,Financials,-495669,-417.4,-5.87,Acq for $848.02 in cash,
Russell 1000,AVLR,2022-10-14,2022-10-18,Delete,93.28,Information Technology,-3856830,-359.8,-1.09,Acq for $93.50 in cash.,
MSCI SC,PING,2022-10-14,2022-10-18,Delete,28.47,Information Technology,-637936,-18.2,-0.21,Acq for $28.50 cash. LDOT 10/17. SH vote at 3pm ET.,
MSCI SC,CCXI,2022-10-14,2022-10-18,Delete,51.94,Health Care,-501201,-26,-0.4,Acq for $52 cash,
MSCI SC,NKLA,2022-10-14,2022-10-18,Upweight,3.06,Industrials,397124,1.2,0.03,Acq RMO for .1186 stock,
SP400,WLK,2022-10-13,2022-10-17,Add,90.5,Materials,3790077,343,4.82,Replaces MLKN in the SP400,
SP400,MLKN,2022-10-13,2022-10-17,SP400 to SP600,17,Industrials,-8319977,-141.4,-7.56,Moved to SP600,
SP600,MLKN,2022-10-13,2022-10-17,SP400 to SP600,17,Industrials,10572514,179.7,9.61,Moved from SP400,
SP600,CVET,2022-10-13,2022-10-17,Delete,20.99,Health Care,-,-,-,CVET acq for $21 cash. No longer trading.,
MSCI SC,DICE,2022-10-13,2022-10-17,Upweight,42.23,Health Care,181581,7.7,0.14,Equity offering,
MSCI Std,AVLR,2022-10-12,2022-10-14,Delete,92.68,Information Technology,-2196493,-203.6,-0.61,Acq for $93.50 in cash,
SP500,NLSN,2022-10-06,2022-10-11,Delete,27.98,Industrials,-62478674,-,-54.15,"Elliot Management Corp is to acquire Nielsen Holdings PLC (XNYS: NLSN) for $28.00 cash. The transaction is expected to close October 11. If NLSN is suspended before the removal date, SPDJI will drop NLSN at its NYSE closing price or the deal price, whichever is lower.",
SP500,TRGP,2022-10-06,2022-10-11,Add,70.44,Energy,39511541,-,11.52,Moved from SP400,
SP400,TRGP,2022-10-06,2022-10-11,Delete,70.44,Energy,-24875959,-,-7.25,Moved to SP500,
SP400,LNTH,2022-10-06,2022-10-11,Add,55.66,Health Care,7545053,-,4.33,Moved from SP600,
SP600,LNTH,2022-10-06,2022-10-11,Delete,55.66,Health Care,-9258173,-,-5.31,Moved to SP400,
SP600,PAYO,2022-10-06,2022-10-11,Add,5.55,Information Technology,26958636,-,3.95,Replaces Lantheus Holdings Inc (XNAS: LNTH) in the SP600,
Russell 1000,NLSN,2022-10-05,2022-10-11,Delete,27.9,Industrials,-13153203,-367,-3.15,Acq for $28/share in cash. Exp LDOT 10/11,
SP400,MTZ,2022-10-05,2022-10-07,Upweight,67.95,Industrials,198434,13.5,0.29,MTZ acq IEA for $10.50 and 0.0483 MTZ per share.,
MSCI SC,MTZ,2022-10-05,2022-10-07,Upweight,67.95,Industrials,49827,3.4,0.07,MTZ acq IEA for $10.50 and 0.0483 MTZ per share.,
MSCI SC,IMVT,2022-10-05,2022-10-07,Downweight,9.34,Health Care,-18214,-0.2,-0.01,Equity Offering & Float Update,
Russell 2000,GBL,2022-10-04,2022-10-06,Delete,17.41,Financials,-653413,-11.4,-17.71,Delisted,
MSCI SC,RCKT,2022-10-04,2022-10-06,Upweight,17.22,Health Care,102817,1.8,0.08,Public offering,
MSCI SC,TMX,2022-10-04,2022-10-06,Delete,40.98,Consumer Discretionary,-1069229,-43.8,-1.07,Acq by RTO LN in a cash and stock deal.,
Russell 2000,BRG,2022-10-03,2022-10-06,Delete,26.83,Real Estate,-4079960,-109.5,-12.65,BRG to be acq by BX for $24.25/share in cash post-spin of BHM.,
Russell 2000,CNVY,2022-09-30,2022-10-06,Delete,10.51,Health Care,-2329746,-,-40.07,ACQUIRED,
Russell 2000,BHM-w,2022-10-03,2022-10-05,Add,20.99,Real Estate,-,-,-,Spin off from BRG. BRG holders to receive 0.125 shs BHM per BRG held.,
MSCI SC,BRG,2022-10-03,2022-10-05,Delete,26.83,Real Estate,-262404,-7,-0.81,BRG to be acq by BX for $24.25/share in cash post-spin of BHM.,
MSCI SC,CHNG,2022-10-03,2022-10-05,Delete,27.49,Health Care,-,-,-,CHNG acq by UNH for $27.75/share in cash. Deal has closed,
MSCI SC,GBT,2022-10-03,2022-10-05,Delete,68.48,Health Care,-544221,-37.3,-0.19,Acq by PFE for $68.5/share in cash. Exp LDOT 10/4,
Russell 2000,BHVN,2022-09-30,2022-10-04,Delete,14.5,Health Care,-8889599,-,-5,ACQUIRED,
MSCI SC,BHVN,2022-09-30,2022-10-04,Delete,#N/A Requesting Data... US Equity,Health Care,-531403,-,-,ACQUIRED,
MSCI SC,XPER,2022-09-28,2022-10-03,Add,23,Information Technology,-,-,-,"Xperi Holding Corporation announced a spin-off of Xperi, Inc, which will retain the ticker XPER & parent co will change ticker to ADEA. Every 10 shares of XPER (old) will receive 4 new shares of XPER.",
SP600,SLQT,2022-09-23,2022-10-03,Delete,1.06,Financials,-16704887,-17.7,-5.76,Discretionary Removal,
MSCI SC,ABTX,2022-09-28,2022-09-30,Delete,43.71,Financials,-,-,-,CBTX acq ABTX for 1.4184 CBTX per ABTX held.,
MSCI SC,CBTX,2022-09-28,2022-09-30,Upweight,30.9,Financials,-,-,-,CBTX acq ABTX for 1.4184 CBTX per ABTX held.,
MSCI SC,HNGR,2022-09-28,2022-09-30,Delete,18.72,Health Care,-343452,-6.4,-0.89,Patient Square Capital acq HNGR for $18.75. Exp 9/30 LDOT,
SP400,FYBR,2022-09-27,2022-09-30,Add,22.22,Communication Services,24463474,543.6,27.5,Replaces HAIN in the SP400,
SP400,HAIN,2022-09-27,2022-09-30,SP400 to SP600,16.17,Consumer Staples,-9850731,-159.3,-7.51,Moved to SP600,
SP600,HAIN,2022-09-27,2022-09-30,SP400 to SP600,16.17,Consumer Staples,12517702,202.4,9.54,Moved from SP400,
SP600,HNGR,2022-09-27,2022-09-30,Delete,18.72,Health Care,-5440643,-101.8,-13.72,Patient Square Capital acq HNGR for $18.75. Exp 9/30 LDOT,
Russell 2000,HNGR,2022-09-27,2022-09-30,Delete,18.72,Health Care,-5245037,-98.2,-13.23,Patient Square Capital acq HNGR for $18.75. Exp 9/30 LDOT,
Russell 2000,XPER,2022-09-27,2022-09-30,Add,23,Information Technology,-,-,-,"Xperi Holding Corporation announced a spin-off of Xperi, Inc, which will retain the ticker XPER & parent co will change ticker to ADEA. Every 10 shares of XPER (old) will receive 4 new shares of XPER.",
Russell 1000,PLD,2022-09-26,2022-09-30,Upweight,104.16,Real Estate,-,-,-,PLD acq DRE for 0.475 PLD shares per DRE held.,
Russell 1000,DRE,2022-09-26,2022-09-30,Delete,49.3,Real Estate,-,-,-,PLD acq DRE for 0.475 PLD shares per DRE held.,
Russell 2000,CBTX,2022-09-26,2022-09-30,Upweight,31.15,Financials,-,-,-,CBTX acq ABTX for 1.4184 CBTX per ABTX held.,
Russell 2000,ABTX,2022-09-26,2022-09-30,Delete,43.97,Financials,-,-,-,CBTX acq ABTX for 1.4184 CBTX per ABTX held.,
SP500,PLD,2022-09-23,2022-09-30,Upweight,108.6,Real Estate,-,-,-,PLD acq DRE for 0.475 PLD shares per DRE held.,
SP500,DRE,2022-09-23,2022-09-30,Delete,51.43,Real Estate,-,-,-,PLD acq DRE for 0.475 PLD shares per DRE held.,
SP500,CTXS,2022-09-23,2022-09-30,Delete,103.75,Information Technology,-21664385,-2247.7,-19.94,Vista Equity Partners acq CTXS for $104.00 per share.,
SP500,PCG,2022-09-23,2022-09-30,Add,12.61,Utilities,279658925,3526.5,19.08,Replaces CTXS in the SP500,
SP500,EQT,2022-09-23,2022-09-30,SP400 to SP500,41.26,Energy,64261531,2651.4,8.83,Moved from SP400,
SP400,EQT,2022-09-23,2022-09-30,SP400 to SP500,41.26,Energy,-40584283,-1674.5,-5.58,Moved to SP500,
SP400,EXLS,2022-09-23,2022-09-30,SP600 to SP400,167.94,Information Technology,3630317,609.7,18.89,Moved from SP600,
SP600,EXLS,2022-09-23,2022-09-30,SP600 to SP400,167.94,Information Technology,-4344478,-729.6,-22.61,Moved to SP400,
SP600,ABTX,2022-09-23,2022-09-30,Delete,43.9,Financials,-2615479,-114.8,-35.6,CBTX is to acquire ABTX for 1.4184 shares of CBTX per ABTX held.,
SP600,MCW,2022-09-23,2022-09-30,Add,8.63,Consumer Discretionary,10724380,92.6,5.59,Replaces EXLS in the SP600,
SP600,CBTX,2022-09-23,2022-09-30,Add,30.96,Financials,6184650,191.5,44.47,Replaces ABTX in the SP600,
SP600,XPER,2022-09-23,2022-09-30,Add,14.36,Information Technology,-,-,-,"Xperi Holding Corporation announced a spin-off of Xperi, Inc, which will retain the ticker XPER & parent co will change ticker to ADEA. Every 10 shares of XPER (old) will receive 4 new shares of XPER.",
MSCI Std,CTXS,2022-09-27,2022-09-29,Delete,103.8,Information Technology,-3164498,-328.5,-2.54,Vista Equity Partners acq CTXS for $104.00 per share. Exp LDOT 9/29,
Russell 1000,CTXS,2022-09-26,2022-09-29,Delete,103.8,Information Technology,-5087989,-528.1,-4.39,Vista Equity Partners acq CTXS for $104.00 per share. Exp LDOT 9/29,
MSCI Std,PLD,2022-09-26,2022-09-28,Upweight,104.16,Real Estate,-,-,-,PLD acq DRE for 0.475 PLD shares per DRE held.,
MSCI Std,DRE,2022-09-26,2022-09-28,Delete,49.3,Real Estate,-,-,-,PLD acq DRE for 0.475 PLD shares per DRE held.,
SP600,GCP,2022-09-23,2022-09-27,Delete,31.99,Materials,-7532627,-241,-10.79,Acquired for $32 per share in cash. 9/26 exp LDOT,
SP600,LESL,2022-09-23,2022-09-27,Add,13.45,Consumer Discretionary,20014112,269.2,14.95,Replaces GCP in the SP600,
MSCI SC,GCP,2022-09-23,2022-09-27,Delete,31.99,Materials,-423345,-13.5,-0.61,Acquired for $32 per share in cash. 9/26 exp LDOT,
Russell 2000,GCP,2022-09-22,2022-09-26,Delete,31.99,Materials,-6919574,-221.4,-10.43,Acquired for $32 per share in cash. 9/26 exp LDOT,
MSCI SC,WTM,2022-09-22,2022-09-26,Upweight,1252.85,Financials,-3622,-4.5,-0.19,Buyback,
MSCI SC,IDYA,2022-09-20,2022-09-22,Upweight,12.05,Health Care,100375,1.2,0.16,Public Offering,
Russell 1000,CNM,2022-09-16,2022-09-20,Upweight,23.28,Industrials,434144,10.1,0.72,Equity Offering,
SP500,CSGP,2022-09-06,2022-09-16,Add,,Industrials,64972727,5095.2,35.8,Quarterly Rebalance,
SP500,INVH,2022-09-06,2022-09-16,Add,,Real Estate,95019363,3758,29.55,Quarterly Rebalance,
SP400,PENN,2022-09-06,2022-09-16,SP500 to SP400,,Consumer Discretionary,-11511090,-373.8,-4.03,Quarterly Rebalance,
SP400,PVH,2022-09-06,2022-09-16,SP500 to SP400,,Consumer Discretionary,-4568389,-276.8,-3.64,Quarterly Rebalance,
SP400,DT,2022-09-06,2022-09-16,Add,,Information Technology,22118650,900.9,9.35,Quarterly Rebalance,
SP400,NLY,2022-09-06,2022-09-16,Add,,Financials,193493746,1286.7,6.61,Quarterly Rebalance,
SP600,AEO,2022-09-06,2022-09-16,SP400 to SP600,,Consumer Discretionary,3214145,34.4,0.5,Quarterly Rebalance,
SP600,HPP,2022-09-06,2022-09-16,SP400 to SP600,,Real Estate,414515,5.9,0.22,Quarterly Rebalance,
SP600,MCY,2022-09-06,2022-09-16,SP400 to SP600,,Financials,458250,15.5,0.73,Quarterly Rebalance,
SP600,MTX,2022-09-06,2022-09-16,SP400 to SP600,,Materials,864410,54.1,4.83,Quarterly Rebalance,
SP600,OUT,2022-09-06,2022-09-16,Add,,Real Estate,19824632,390.3,9.65,Quarterly Rebalance,
SP600,APEI,2022-09-06,2022-09-16,Delete,,Consumer Discretionary,-2780363,-24.2,-20.79,Quarterly Rebalance,
SP600,CAMP,2022-09-06,2022-09-16,Delete,,Information Technology,-5144894,-25,-10.96,Quarterly Rebalance,
SP600,EHTH,2022-09-06,2022-09-16,Delete,,Financials,-3461053,-17.8,-5.76,Quarterly Rebalance,
SP600,FOSL,2022-09-06,2022-09-16,Delete,,Consumer Discretionary,-6648821,-25.6,-7.82,Quarterly Rebalance,
SP600,GLT,2022-09-06,2022-09-16,Delete,,Materials,-6593901,-28.6,-10.42,Quarterly Rebalance,
Russell 2000,IE,2022-09-06,2022-09-16,Add,,Materials,2058878,22.9,27.24,Quarterly Rebalance,
Russell 2000,PEAR,2022-09-06,2022-09-16,Add,,Health Care,9962350,19.3,27.44,Quarterly Rebalance,
Russell 2000,PFHC,2022-09-06,2022-09-16,Add,,Energy,2500632,49.6,8.44,Quarterly Rebalance,
MSCI SC,RVNC,2022-09-13,2022-09-15,Upweight,26.93,Health Care,102418,2.8,0.06,Public Offering,
MSCI SC,RLAY,2022-09-13,2022-09-15,Upweight,24.03,Health Care,112565,2.7,0.08,Public Offering,
SP600,MANT,2022-09-12,2022-09-14,Delete,95.99,Industrials,-3839871,-368.6,-22.1,Acq by CG for $96 per share. Exp LDOT 9/14,
SP600,CPRX,2022-09-12,2022-09-14,Add,15.15,Health Care,12559922,190.3,4.63,Replaces MANT in the SP600,
MSCI SC,NE,2022-09-12,2022-09-14,Upweight,34.32,Energy,454120,15.6,0.56,Acq DRLCO DC in a cash and stock deal.,
MSCI SC,MANT,2022-09-12,2022-09-14,Delete,95.99,Industrials,-242430,-23.3,-1.4,Acq by CG for $96 per share. Exp LDOT 9/14,
Russell 2000,PCH,2022-09-09,2022-09-14,Upweight,47.57,Real Estate,-,-,-,PCH acq CTT for 0.23 PCH shares per CTT held.,
Russell 2000,CTT,2022-09-09,2022-09-14,Delete,10.93,Real Estate,-,-,-,PCH acq CTT for 0.23 PCH shares per CTT held.,
SP400,PCH,2022-09-08,2022-09-14,Upweight,46.5,Real Estate,1243075,57.8,3.25,PCH acquire CTT for 0.23 PCH shares per CTT held.,
MSCI SC,PCH,2022-09-09,2022-09-13,Upweight,47.57,Real Estate,-,-,-,PCH acq CTT for 0.23 PCH shares per CTT held.,
MSCI SC,CTT,2022-09-09,2022-09-13,Delete,10.93,Real Estate,-,-,-,PCH acq CTT for 0.23 PCH shares per CTT held.,
MSCI SC,CRGY,2022-09-09,2022-09-13,Upweight,15.85,Energy,38742,0.6,0.08,Secondary offering,
MSCI SC,MNDT,2022-09-09,2022-09-13,Delete,22.98,Information Technology,-,-,-,Acq by GOOGL for $23 per share in cash. MNDT has been halted.,
MSCI SC,ASAN,2022-09-08,2022-09-12,Upweight,23.76,Information Technology,55292,1.3,0.01,Private Placement,
Russell 1000,NLOK,2022-09-06,2022-09-09,Upweight,22.86,Information Technology,668319,15.3,0.13,NLOK acq AVST LN for $7.61 and 0.0302 shares of NLOK per AVST LN held.,
MSCI Std,NLOK,2022-09-06,2022-09-09,Upweight,22.86,Information Technology,466211,10.7,0.09,NLOK acq AVST LN for $7.61 and 0.0302 shares of NLOK per AVST LN held.,
MSCI SC,HL,2022-09-02,2022-09-07,Upweight,3.9,Materials,148799,0.6,0.03,HL acq AXU CN for 0.116 shares of HL per AXU CN held.,
SP500,MMM,2022-09-01,2022-09-02,Downweight,125.63,Industrials,-2682797,-337,-0.22,Share decrease associated with split-off exchange offer for NEOG.,
SP400,NEOG,2022-09-01,2022-09-02,Upweight,19,Health Care,11885694,225.8,1.89,Share increase associated with split-off exchange offer from MMM.,
MSCI SC,NEOG,2022-08-30,2022-09-01,Upweight,21.17,Health Care,952776,20.2,0.18,Share increase associated with split-off exchange offer from MMM.,
MSCI Std,MMM,2022-08-29,2022-09-01,Downweight,124.86,Industrials,-399738,-49.9,-0.04,Share decrease associated with split-off exchange offer for NEOG.,
SP600,POLY,2022-08-29,2022-08-31,Delete,39.82,Information Technology,-,-,-,HPQ acq POLY for $40.00 per share. Deal has closed.,
SP600,AVID,2022-08-29,2022-08-31,Add,24.13,Information Technology,4728050,114.1,17.04,Replaces POLY in the SP600,
SP500,FANG,2022-08-22,2022-08-24,Upweight,131.18,Energy,706646,92.7,0.3,FANG acq units not already owned of RTLR. RTLR holders to receive 0.113 FANG per RTLR unit held.,
MSCI Std,FANG,2022-08-22,2022-08-24,Upweight,131.18,Energy,5558,0.7,0,FANG acq units not already owned of RTLR. RTLR holders to receive 0.113 FANG per RTLR unit held.,
Russell 1000,APE,2022-08-17,2022-08-23,Delete,12.5,Communication Services,-18977723,-237.2,-,Spin-off from AMC deleted due to ineligible security type.,
MSCI Std,APE,2022-08-17,2022-08-22,Add,12.5,Communication Services,-,-,-,Spin-off from AMC. AMC shareholders will receive 1 APE preferred per AMC share held.,
Russell 1000,APE,2022-08-17,2022-08-19,Add,12.5,Communication Services,-,-,-,Spin-off from AMC. AMC shareholders will receive 1 APE preferred per AMC share held.,
Russell 2000,BE,2022-08-17,2022-08-19,Upweight,26.58,Industrials,1806461,48,0.52,Equity Offering,
Russell 2000,OPCH,2022-08-17,2022-08-19,Upweight,32.11,Health Care,1536700,49.3,1.28,Equity Offering,
MSCI SC,BFC,2022-08-17,2022-08-19,Upweight,80.47,Financials,11783,0.9,1.29,Acq Hometown Bancorp in a cash & stock deal.,
MSCI SC,VRDN,2022-08-17,2022-08-19,Upweight,22.78,Health Care,114583,2.6,0.12,Equity Offering,
MSCI SC,UEC,2022-08-17,2022-08-19,Upweight,3.66,Energy,470279,1.7,0.06,Acq UEX CN in a stock deal.,
Russell 2000,CDR,2022-08-16,2022-08-19,Delete,28.95,Real Estate,-1551368,-44.9,-2.95,Acq for $9.48 per share in cash. Exp LDOT 8/19,
MSCI SC,TPTX,2022-08-16,2022-08-18,Delete,76.01,Health Care,-,-,-,Acq for $76 per share in cash. TPTX has been halted.,
MSCI SC,FULC,2022-08-16,2022-08-18,Upweight,7.28,Health Care,100958,0.7,0.2,Equity Offering,
MSCI SC,RBBN,2022-08-15,2022-08-17,Upweight,3.36,Information Technology,8119,0,0.03,Private Placement,
MSCI SC,SAIL,2022-08-15,2022-08-17,Delete,65.24,Information Technology,-,-,-,Thoma Bravo acq SAIL for $65.25 per share. Deal has closed,
SP400,SAIL,2022-08-12,2022-08-16,Delete,65.08,Information Technology,-10351615,-673.7,-6.75,Thoma Bravo acq SAIL for $65.25 per share.,
SP400,MTSI,2022-08-12,2022-08-16,Add,61.41,Information Technology,5370746,329.8,12.77,Replaces SAIL in the SP400 Index,
MSCI SC,PTLO,2022-08-12,2022-08-16,Upweight,22.99,Consumer Discretionary,68061,1.6,0.09,Equity Offering,
MSCI SC,RDUS,2022-08-12,2022-08-16,Delete,10.08,Health Care,-,-,-,Acq for $10 and one CVR per share. Deal has closed.,
MSCI SC,MKSI,2022-08-12,2022-08-16,Upweight,120.81,Information Technology,37389,4.5,0.07,MKSI acq ATC for $16.20 in cash and 0.0552 MKSI per ATC held.,
Russell 1000,MKSI,2022-08-11,2022-08-16,Upweight,116.51,Information Technology,66056,7.7,0.13,MKSI acq ATC for $16.20 and 0.0552 MKSI per ATC held.,
MSCI SC,LXU,2022-08-11,2022-08-15,Upweight,13.19,Materials,57036,0.8,0.08,Equity Offering,
MSCI SC,CINC,2022-08-11,2022-08-15,Upweight,34.31,Health Care,33840,1.2,0.11,Equity Offering,
Russell 2000,BRBR,2022-08-09,2022-08-11,Upweight,23.69,Consumer Staples,2067560,49,2.08,Secondary offering concurrent with share repurchase,
MSCI SC,BRBR,2022-08-09,2022-08-11,Upweight,23.69,Consumer Staples,179998,4.3,0.18,Secondary offering concurrent with share repurchase,
MSCI SC,HRTX,2022-08-09,2022-08-11,Upweight,4.11,Health Care,141935,0.6,0.05,Private placement,
Russell 2000,RDUS,2022-08-08,2022-08-10,Delete,-,Health Care,-6474257,-,-,TENDER OFFER,
MSCI SC,ACC,2022-08-05,2022-08-09,Delete,65.4,Real Estate,-1238899,-81,-0.73,BX to acquire ACC for $65.47 cash per share. LDOT exp 8/9.,
MSCI SC,TMDX,2022-08-05,2022-08-09,Upweight,48.78,Health Care,29892,1.5,0.07,Upweight following the public offering.,
SP400,ACC,2022-08-04,2022-08-09,Delete,65.39,Real Estate,-15308957,-1001.1,-9,BX to acquire ACC for $65.47 cash per share. Expected to close Aug 10.,
SP400,CELH,2022-08-04,2022-08-09,Add,108.41,Consumer Staples,4220121,457.5,3.27,Moved from SP600,
SP600,CELH,2022-08-04,2022-08-09,Delete,108.41,Consumer Staples,-5050309,-547.5,-3.92,Moved to SP400,
SP600,CLFD,2022-08-04,2022-08-09,Add,103.21,Information Technology,1502002,155,6.05,Replaces CELH in the SP600,
Russell 1000,ACC,2022-08-04,2022-08-09,Delete,65.39,Real Estate,-5085944,-332.6,-2.99,BX to acquire ACC for $65.47 cash per share. Expected to close Aug 10.,
MSCI SC,ARQT,2022-08-03,2022-08-05,Upweight,22.21,Health Care,96927,2.2,0.15,Share Increase following the equity offering.,
Russell 1000,NLY,2022-08-02,2022-08-04,Downweight,19.74,Financials,3668445,-,0.41,EQUITY OFFERING,
SP600,MTOR,2022-08-01,2022-08-03,Delete,36.49,Industrials,-,-,-,Acq for $190 per share in cash. Exp LDOT 8/2,
SP600,AHCO,2022-08-01,2022-08-03,Add,22.3,Health Care,13665517,304.7,15.53,Replaces MTOR in the SP600,
MSCI SC,MTOR,2022-08-01,2022-08-03,Delete,36.49,Industrials,-,-,-,Acq for $190 per share in cash. Exp LDOT 8/2,
MSCI SC,NPTN,2022-08-01,2022-08-03,Delete,16,Information Technology,-,-,-,Acq for $16 per share in cash. Exp LDOT 8/2,
Russell 2000,NPTN,2022-07-29,2022-08-02,Delete,15.99,Information Technology,-7284517,-116.5,-9.14,Acq for $16 per share in cash. Exp LDOT 8/2,
MSCI SC,LXRX,2022-07-28,2022-08-01,Upweight,2.4,Health Care,119680,0.3,0.05,Equity offering,
